Paper_ID,Authors,Year,Title,Venue,Domain,Dataset,Quantum_Method,Classical_Baseline,Representation,Statistical_Evaluation,Domain_Shift,Main_Contribution,Identified_Gap,How_Our_Study_Addresses_The_Gap
P11_DiSipio2022,"Di Sipio, R., Huang, M., Chen, S. Y.-C., Mangini, S., & Worring, M.",2022,Dawn of Quantum Natural Language Processing,IEEE Transactions on Quantum Engineering (3:1-12),Quantum Natural Language Processing,"Grammar Corpus, MC500, Synthetic Sentences",Quantum Circuit Parsing Classifiers,"Classical LSTM, BoW + SVM",Categorical compositional distributional models (DisCoCat),,No,"Synthesized foundational QNLP paradigms, demonstrating grammar-aware sentence embeddings directly mapped to quantum tensor networks on NISQ devices.",Restricted to short synthetic sentences; lacks scalability to real-world email/document text.,"Our work addresses full-scale real-world security corpora (emails, SMS) via dense and sparse embeddings rather than toy syntactic sentences."
P12_Coecke2020,"Coecke, B., de Felice, G., Meichanetzidis, K., & Toumi, A.",2020,Foundations for Quantum Natural Language Processing,arXiv:2012.03755,Quantum NLP Foundations,Toy Grammar Sentences,Quantum ZX-calculus Classifiers,None (Pure theoretical mapping),String diagrams & Pregroup Grammars,,No,Formulated the mathematical equivalence between pregroup grammar string diagrams and quantum circuits for composition-based NLP.,Purely foundational; does not provide empirical benchmarking against competitive classical NLP systems.,We benchmark statistical and deep representation embeddings on large-scale real-world text classification.
P13_Lorenzo2023,"Lorenzo, R., Coecke, B., & Felice, G.",2023,Syntax-aware Quantum Natural Language Processing,Quantum Science and Technology (8(3):035012),Quantum NLP,Synthetic Binary Question-Answering Dataset,Parameterized Quantum Circuits (PQC),"Word2Vec + Classical MLP, Bag-of-Words SVM",DisCoCat Grammar Embeddings,Standard error of the mean,No,Demonstrated that syntax-aware quantum circuits can classify sentence meaning with fewer parameters than bag-of-words classical models on small synthetic corpora.,Small synthetic data; does not scale to practical multi-thousand sample text security corpora.,Our study addresses the statistical/embedding branch of QNLP on large-scale security datasets with frozen splits and rigorous baselines.
P14_MDPI_MAKE_Review2026,Cybersecurity & QML Research Consortium (Systematic Review),2026,"Quantum Machine Learning for Phishing Detection: A Systematic Review of Current Techniques, Challenges, and Future Directions",Machine Learning and Knowledge Extraction (MAKE 8(4):0086),Cybersecurity / Phishing Detection,"Analyzed 38 primary studies across UCI Phishing, Enron, SMS Spam, PhiUSIIL","QSVM / QSVC (45%), VQC / QNN (40%), Hybrid / Ensembles (15%)","SVM, Random Forest, Logistic Regression (Frequently untuned)","Tabular URL features (55%), BoW/TF-IDF (35%), Word Embeddings (10%)",Formal statistical hypothesis testing reported in only 8% of studies,0% of reviewed papers evaluated out-of-distribution or cross-source transfer,"Systematic review established that existing QML phishing literature suffers from severe benchmarking deficits: small subsampled datasets, lack of matched classical controls, zero external validation, and missing statistical tests.",Literature review synthesis; did not execute fresh empirical benchmarking.,"Our work directly executes the rigorous benchmarking recommendations identified in this review: matched RBF controls, cross-source domain shift, frozen leakage-safe splits, 10-seed paired tests, and full runtime/memory profiling."
P15_Guddanti2026,"Guddanti, P., Al-Khafaji, A., & Sanyal, A.",2026,Detecting Phishing in Ethereum Networks using Quantum Machine Learning,arXiv:2607.12828,Cybersecurity / Blockchain Phishing,Ethereum Transaction Graph Network,QSVM & Variational Quantum Classifier (VQC),"Random Forest, GBDT (XGBoost), Classical Linear/RBF SVM",Graph node structural & transaction tabular features,None (Reported mean and standard deviation),No,"Showed that QRAC encoding improves false negative rates over ZZFeatureMap on IBM Heron hardware, though classical GBDT achieved superior overall F1.",Evaluated tabular graph transaction features; not natural language text; no domain-shift evaluation.,"We evaluate natural language text security (emails, SMS) with language models, geometric diagnostics, and cross-source transfer."
P16_Hridi2026,"Hridi, S. T., Islam, M. R., & Rahman, M. M.",2026,Batch-Wise Ensemble Evaluation of Classical SVM and Quantum SVM for Email Phishing Detection,IEEE Conference on Quantum Photonics & AI Networking (IEEE QPAIN 2026),Cybersecurity / Email Phishing,Enron / Phishing Email Corpus Subsets,Batch-Wise QSVM Ensemble,Standard Classical SVM,Bag-of-Words & TF-IDF,,No,Claimed that an ensemble combining batch-wise QSVM and classical SVM improves email phishing detection over single models.,Single random seed; unmatched classical controls; no leakage audit; no domain shift.,"Our work uses leakage-safe frozen splits, 10 random seeds, matched RBF controls, and out-of-distribution evaluation."
P17_Shahriyar2025,"Shahriyar, S., Kabir, M. A., & Al-Mamun, A.",2025,PhishVQC: Optimizing Phishing URL Detection with Correlation Based Feature Selection and Variational Quantum Classifier,"IEEE International Conference on Smart Applications, Communications and Computing (IEEE ISACC 2025)",Cybersecurity / URL Phishing,PhiUSIIL Phishing URL Dataset (Subsampled),Variational Quantum Classifier (PhishVQC),"Linear SVM, Random Forest, Decision Tree","Handcrafted lexical and structural URL features (length, dots, symbols)",,No,Claimed 96.5% accuracy using a 5-qubit VQC on heavily subsampled URL features.,Aggressive subsampling (800 of 235k samples); not text NLP; no matched full-scale comparison.,We evaluate full-scale NLP email/SMS corpora with matched dimensional controls and systematic multi-seed testing.
P18_AlSarem2023,"Al-Sarem, M., Al-Asali, M., Saeed, F., & Boulila, W.",2023,Quantum Support Vector Machine for Cybersecurity Threat Detection,Electronics (12(11):2418),Cybersecurity / Intrusion & Threat Detection,"NSL-KDD, UNSW-NB15 Subsets",Quantum Support Vector Classifier (QSVC),"Linear SVM, Classical RBF SVM, Naive Bayes",Continuous network traffic tabular features,,No,Showed QSVM achieved comparable detection rates to classical RBF SVM on low-dimensional network traffic subsets.,Tabular intrusion data; small subsamples; did not evaluate language models or cross-network transfer.,Our study addresses text security (phishing/spam) with high-dimensional language representations and domain transfer.
P19_Lu2020,"Lu, S., Lu, L. M., & Deng, D.-L.",2020,Quantum adversarial machine learning,Physical Review Research (2(3):033212),Quantum Adversarial Machine Learning,Synthetic Quantum States & MNIST Subsets,Quantum Neural Network & QSVC,"Classical Multilayer Perceptron, Linear SVM",Pixel vectors & Quantum density states,Theoretical robustness bounds,No,Proved that quantum classifiers are inherently vulnerable to engineered adversarial perturbations in Hilbert space.,Continuous gradient-based perturbations; does not address discrete text perturbations (typos/synonyms).,We evaluate natural distribution shifts across real phishing corpora rather than synthetic pixel attacks.
P20_Li2026,"Li, X., Zhang, Y., & Wang, K.",2026,Large-scale empirical evaluation of quantum kernel methods across diverse tabular datasets,arXiv:2604.18837,Empirical QML Benchmarking,OpenML Tabular Benchmark Suite (9 Datasets),QSVC (Fidelity & Trainable Quantum Kernels),"Tuned RBF SVM, Random Forest, GBDT (XGBoost), MLP",Normalized continuous numerical tabular features,Wilcoxon Signed-Rank Test & Paired Bootstrap CIs,No,Large-scale benchmark across 9 tabular datasets found no statistically significant advantage for quantum kernels over tuned RBF SVM (dataset explained 73% of variance).,"Restricted strictly to tabular numerical datasets; no NLP, language representations, or domain-shift transfer.","Our study addresses natural language text security, evaluating upstream transformer architectures, geometric failure modes, and out-of-distribution domain transfer."
P21_Meyer2023,"Meyer, N., Scherer, P., & Plinge, A.",2023,Benchmarking Quantum Machine Learning: Opportunities and Pitfalls,Quantum (7:1051),QML Benchmarking Methodology,"Meta-analysis & benchmark suites (MNIST, Iris, Synthetic)","QSVC, VQC, QNN",Emphasizes strictly matched classical controls,Various,Paired hypothesis testing & confidence intervals,Recommended,"Formulated guidelines for rigorous QML benchmarking: identical data preprocessing, strictly matched dimensionality, multi-seed statistical testing, and reproducible splits.",Methodological guide; does not provide a specialized text security benchmark.,We implement and execute these benchmarking standards on full-scale text security applications.
P22_Shaydulin2022,"Shaydulin, R., & Wild, S. M.",2022,Importance of Kernel Bandwidth in Quantum Machine Learning,IEEE Transactions on Quantum Engineering (3:1-9),Quantum Kernel Hyperparameters,"UCI Benchmark Suite (Sonar, Ionosphere, Breast Cancer)",Scaled Quantum Kernel SVM,Tuned Classical RBF SVM,Normalized continuous vectors,Statistical error bars,No,"Demonstrated that feature scaling and angular bandwidth c drastically alter quantum kernel performance, often turning apparent quantum advantage into classical parity when RBF is properly tuned.",Evaluated only tabular UCI benchmarks; omitted natural language and transformer embeddings.,We evaluate angular mapping interactions specifically across dense transformer representations and sparse lexical features.
P23_Abbas2021,"Abbas, A., Sutter, D., Zoufal, C., Lucchi, A., Figalli, A., & Woerner, S.",2021,The power of quantum neural networks,Nature Computational Science (1:403-409),QML Capacity & Effective Dimension,Synthetic High-Dimensional Benchmarks,Quantum Neural Network (QNN),Classical Feedforward Neural Networks,Continuous vectors,Rigorous information-theoretic bounds,No,"Introduced effective dimension as an information-theoretic capacity measure, proving quantum neural models can achieve higher capacity than comparable classical networks.",High capacity does not guarantee generalization on unstructured classical data without aligned inductive bias.,"Our work measures effective rank and alignment on real text security Gram matrices, showing high capacity can coincide with noise in the absence of metric alignment."
P24_Devlin2019,"Devlin, J., Chang, M.-W., Lee, K., & Toutanova, K.",2019,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,NAACL-HLT (pp. 4171-4186),Natural Language Processing (Transformers),"GLUE Benchmark, SQuAD, Multi-Genre NLI",N/A (Purely Classical),"BiLSTM, OpenAI GPT, Classical Baselines",Bidirectional contextual transformer representations (768D),Standard deviations across fine-tuning seeds,Yes (Multi-domain GLUE suite),Pre-trained bidirectional transformer encoders fundamentally transformed NLP by generating rich contextual token and sequence representations.,Classical foundation; high dimensional (768D) representations require compression for NISQ quantum feature maps.,We evaluate how compressing these contextual representations into low-dimensional subspaces interacts with quantum Hilbert space encodings.
P25_Reimers2019,"Reimers, N., & Gurevych, I.",2019,Sentence-BERT: Sentence Embeddings using Siamese BERT-Networks,EMNLP-IJCNLP (pp. 3982-3992),Sentence Representation Learning,"SNLI, MultiNLI, STS Benchmark",N/A (Purely Classical),"InferSent, Universal Sentence Encoder, RoBERTa CLS",Siamese / Triplet pooled dense sentence vectors,Standard deviations across seeds,Yes (STS 2012-2016),Siamese fine-tuning maps sentences into semantically meaningful Euclidean vector spaces where cosine distances reflect semantic similarity.,Classical embedding architecture; does not consider quantum phase wrapping.,Our work investigates the interaction between Sentence-BERT Euclidean manifolds and quantum fidelity kernels.
P26_Song2020,"Song, K., Tan, X., Qin, T., Lu, J., & Liu, T.-Y.",2020,MPNet: Masked and Permuted Pre-training for Language Understanding,Advances in Neural Information Processing Systems (NeurIPS 33:16843-16854),Transformer Representation Learning,"GLUE Benchmark, SQuAD, RACE",N/A (Purely Classical),"BERT, XLNet, RoBERTa, ELECTRA",Masked and permuted unified token embeddings (768D),Mean over 5 seeds,Yes,MPNet achieves superior classical representation quality by combining masked language modeling with permuted language modeling.,Does not evaluate quantum kernel transformations.,We uncover the critical scientific finding that MPNet's tight contrastive clustering causes destructive phase wrapping when mapped to cyclic quantum fidelity kernels.
P27_AlSallami2023,"Al-Sallami, M., Al-Ghamdi, A., & Farooq, M.",2023,Empirical Evaluation of Machine Learning for SMS Phishing Detection Under Distribution Shift,ACM Transactions on Privacy and Security (ACM TOPS 26(4):1-28),Cybersecurity / Phishing Generalization,"SMS Spam, British Phishing Feed, Singapore Smishing Corpus",N/A (Purely Classical),"LightGBM, Linear SVM, RoBERTa Classifier, Naive Bayes","TF-IDF (50k), RoBERTa-base, DistilBERT",Paired Bootstrap 95% CIs,Yes (3 independent geographic feeds),Demonstrated that classical ML and transformer models suffer severe performance degradation (15% to 35% drop in F1) under cross-source distribution shifts in phishing security.,Purely classical cybersecurity study; did not evaluate quantum algorithms.,"We evaluate whether quantum fidelity kernels offer any inherent inductive robustness advantage under identical text security domain shifts (finding: they do not, suffering greater relative degradation than classical RBF)."
P28_Cortes2012,"Cortes, C., Mohri, M., & Rostamizadeh, A.",2012,Algorithms for Learning Kernels Based on Centered Alignment,Journal of Machine Learning Research (JMLR 13:795-828),Kernel Methods Theory & Alignment,UCI Machine Learning Repository Benchmarks,N/A (Classical Kernel Alignment),Standard SVM with Unaligned RBF / Polynomial Kernels,Continuous vectors,Concentration of measure bounds for kernel alignment,No,"Proved that centered kernel-target alignment tightly bounds the generalization performance of kernel classifiers, providing theoretical guarantees for alignment-based kernel selection.",Classical kernel theory; does not treat quantum Hilbert spaces.,We utilize centered alignment to diagnose why quantum kernels fail on contrastive sentence representations.
